time,input,output
0.0,135,3.69
0.0,135,3.67
0.01,135,3.69
0.01,135,3.69
0.01,135,3.67
0.02,135,2.81
0.04,135,2.81
0.06,135,2.7
0.08,135,2.81
0.09,135,2.81
0.11,135,3.26
0.13,135,3.23
0.15,135,4.91
0.17,135,5.32
0.18,135,5.05
0.2,135,4.88
0.22,135,6.9
0.24,135,3.67
0.25,135,3.55
0.27,135,3.91
0.29,135,3.81
0.31,135,4.62
0.32,135,4.93
0.34,135,5.44
0.36,135,5.85
0.38,135,6.65
0.4,135,7.58
0.41,135,7.5
0.43,135,9.23
0.45,135,11.32
0.47,135,24.84
0.49,135,25.36
0.5,135,25.26
0.52,135,16.2
0.54,135,15.39
0.56,135,15.84
0.58,135,15.9
0.6,135,16.42
0.62,135,17.37
0.64,135,18.72
0.65,135,22.58
0.67,135,23.36
0.69,135,20.37
0.71,135,23.19
0.73,135,18.51
0.75,135,18.67
0.77,135,19.31
0.79,135,19.6
0.8,135,19.84
0.82,135,20.15
0.84,135,19.74
0.86,135,20.09
0.88,135,20.2
0.9,135,20.2
0.92,135,19.74
0.94,135,20.2
0.95,135,20.2
0.97,135,19.94
0.99,135,19.84
1.01,135,19.72
1.03,135,19.72
1.05,135,20.2
1.07,135,19.64
1.09,135,19.72
1.1,135,19.74
1.12,135,19.72
1.14,135,19.72
1.16,135,19.72
1.18,135,19.72
1.2,135,19.62
1.22,135,19.72
1.24,135,19.72
1.25,135,19.72
1.27,135,19.74
1.29,135,19.48
1.31,135,19.72
1.33,135,19.62
1.35,135,19.72
1.37,135,20.6
1.38,135,19.74
1.4,135,19.72
1.42,135,19.74
1.44,135,20.6
1.46,135,20.5
1.48,135,20.6
1.5,135,20.6
1.51,135,20.15
1.53,135,20.6
1.55,135,19.48
1.57,135,19.74
1.59,135,19.36
1.61,135,19.74
1.63,135,19.72
1.65,135,19.72
1.66,135,19.65
1.68,135,19.72
1.7,135,19.72
1.72,135,19.72
1.74,135,19.72
1.76,135,19.74
1.78,135,19.72
1.8,135,19.62
1.82,135,19.72
1.83,135,19.72
1.85,135,19.48
1.87,135,19.47
1.89,135,19.72
1.91,135,19.72
1.93,135,19.62
1.95,135,19.72
1.97,135,19.72
1.98,135,19.72
2.0,135,19.72
2.02,135,19.72
2.04,135,19.72
2.06,135,19.62
2.08,135,19.72
2.1,135,19.74
2.11,135,19.72
2.13,135,19.48
2.15,135,19.74
2.17,135,19.48
2.19,135,19.62
2.21,135,19.72
2.23,135,19.74
2.24,135,19.72
2.26,135,19.64
2.28,135,19.72
2.3,135,19.74
2.32,135,19.72
2.34,135,19.72
2.36,135,19.72
2.38,135,19.72
2.39,135,19.64
2.41,135,19.72
2.43,135,19.48
2.45,135,19.48
2.47,135,19.74
2.49,135,19.72
2.51,135,19.74
2.53,135,19.64
2.54,135,19.72
2.56,135,19.74
2.58,135,19.74
2.6,135,19.72
2.62,135,19.72
2.64,135,19.74
2.66,135,19.62
2.68,135,19.72
2.69,135,19.72
2.71,135,19.48
2.73,135,19.74
2.75,135,19.47
2.77,135,19.72
2.79,135,19.62
2.81,135,19.72
2.83,135,19.72
2.84,135,19.72
2.86,135,19.65
2.88,135,20.6
2.9,135,19.72
2.92,135,19.72
2.94,135,19.72
2.96,135,19.72
2.98,135,19.72
2.99,135,19.62
3.01,135,19.47
3.03,135,19.72
3.05,135,19.72
3.07,135,20.15
3.09,135,20.15
3.11,135,20.6
3.13,135,19.62
3.14,135,19.72
3.16,135,19.74
3.18,135,19.72
3.2,135,19.72
3.22,135,19.72
3.24,135,19.72
3.26,135,19.62
3.28,135,19.72
3.29,135,19.72
3.31,135,19.47
3.33,135,19.47
3.35,135,19.72
3.37,135,19.74
3.39,135,19.62
3.41,135,19.72
3.42,135,19.72
3.44,135,19.72
3.46,135,19.65
3.48,135,19.74
3.5,135,19.74
3.52,135,19.74
3.54,135,19.72
3.56,135,19.72
3.58,135,19.72
3.59,135,19.38
3.61,135,19.72
3.63,135,19.47
3.65,135,19.74
3.67,135,19.72
3.69,135,19.72
3.71,135,19.72
3.72,135,19.62
3.74,135,19.74
3.76,135,19.72
3.78,135,19.72
3.8,135,19.72
3.82,135,19.74
3.84,135,19.72
3.86,135,20.09
3.87,135,20.2
3.89,135,19.47
3.91,135,19.47
3.93,135,19.72
3.95,135,19.72
3.97,135,19.72
3.99,135,19.64
4.01,135,19.72
4.02,135,20.2
4.04,135,20.2
4.06,135,20.54
4.08,135,20.6
4.1,135,19.72
4.12,135,19.72
4.14,135,19.72
4.16,135,19.72
4.17,135,19.47
4.19,135,19.64
4.21,135,19.47
4.23,135,19.72
4.25,135,19.72
4.27,135,19.72
4.29,135,19.72
4.3,135,19.72
4.32,135,19.62
4.34,135,19.72
4.36,135,19.74
4.38,135,19.72
4.4,135,19.72
4.42,135,19.74
4.44,135,19.72
4.45,135,19.62
4.47,135,19.48
4.49,135,19.47
4.51,135,19.72
4.53,135,19.74
4.55,135,19.74
4.57,135,19.74
4.59,135,19.64
4.6,135,19.72
4.62,135,19.72
4.64,135,19.72
4.66,135,19.65
4.68,135,19.72
4.7,135,19.72
4.72,135,19.72
4.74,135,19.72
4.75,135,19.74
4.77,135,19.72
4.79,135,19.36
4.81,135,19.72
4.83,135,19.74
4.85,135,19.72
4.87,135,19.72
4.89,135,19.72
4.9,135,19.72
4.92,135,19.62
4.94,135,19.72
4.96,135,19.72
4.98,135,19.72
5.0,135,19.74
5.02,135,19.72
