time,theta,distance
0.0,100,3.69
0.0,100,3.67
0.01,100,3.69
0.01,100,3.69
0.01,100,3.67
0.02,100,2.81
0.04,100,2.81
0.06,100,2.7
0.08,100,2.81
0.09,100,2.81
0.11,100,3.26
0.13,100,3.23
0.15,100,4.91
0.17,100,5.32
0.18,100,5.05
0.2,100,4.88
0.22,100,6.9
0.24,100,3.67
0.25,100,3.55
0.27,100,3.91
0.29,100,3.81
0.31,100,4.62
0.32,100,4.93
0.34,100,5.44
0.36,100,5.85
0.38,100,6.65
0.4,100,7.58
0.41,100,7.5
0.43,100,9.23
0.45,100,11.32
0.47,100,24.84
0.49,100,25.36
0.5,100,25.26
0.52,100,16.2
0.54,100,15.39
0.56,100,15.84
0.58,100,15.9
0.6,100,16.42
0.62,100,17.37
0.64,100,18.72
0.65,100,22.58
0.67,100,23.36
0.69,100,20.37
0.71,100,23.19
0.73,100,18.51
0.75,100,18.67
0.77,100,19.31
0.79,100,19.6
0.8,100,19.84
0.82,100,20.15
0.84,100,19.74
0.86,100,20.09
0.88,100,20.2
0.9,100,20.2
0.92,100,19.74
0.94,100,20.2
0.95,100,20.2
0.97,100,19.94
0.99,100,19.84
1.01,100,19.72
1.03,100,19.72
1.05,100,20.2
1.07,100,19.64
1.09,100,19.72
1.1,100,19.74
1.12,100,19.72
1.14,100,19.72
1.16,100,19.72
1.18,100,19.72
1.2,100,19.62
1.22,100,19.72
1.24,100,19.72
1.25,100,19.72
1.27,100,19.74
1.29,100,19.48
1.31,100,19.72
1.33,100,19.62
1.35,100,19.72
1.37,100,20.6
1.38,100,19.74
1.4,100,19.72
1.42,100,19.74
1.44,100,20.6
1.46,100,20.5
1.48,100,20.6
1.5,100,20.6
1.51,100,20.15
1.53,100,20.6
1.55,100,19.48
1.57,100,19.74
1.59,100,19.36
1.61,100,19.74
1.63,100,19.72
1.65,100,19.72
1.66,100,19.65
1.68,100,19.72
1.7,100,19.72
1.72,100,19.72
1.74,100,19.72
1.76,100,19.74
1.78,100,19.72
1.8,100,19.62
1.82,100,19.72
1.83,100,19.72
1.85,100,19.48
1.87,100,19.47
1.89,100,19.72
1.91,100,19.72
1.93,100,19.62
1.95,100,19.72
1.97,100,19.72
1.98,100,19.72
2.0,100,19.72
2.02,100,19.72
2.04,100,19.72
2.06,100,19.62
2.08,100,19.72
2.1,100,19.74
2.11,100,19.72
2.13,100,19.48
2.15,100,19.74
2.17,100,19.48
2.19,100,19.62
2.21,100,19.72
2.23,100,19.74
2.24,100,19.72
2.26,100,19.64
2.28,100,19.72
2.3,100,19.74
2.32,100,19.72
2.34,100,19.72
2.36,100,19.72
2.38,100,19.72
2.39,100,19.64
2.41,100,19.72
2.43,100,19.48
2.45,100,19.48
2.47,100,19.74
2.49,100,19.72
2.51,100,19.74
2.53,100,19.64
2.54,100,19.72
2.56,100,19.74
2.58,100,19.74
2.6,100,19.72
2.62,100,19.72
2.64,100,19.74
2.66,100,19.62
2.68,100,19.72
2.69,100,19.72
2.71,100,19.48
2.73,100,19.74
2.75,100,19.47
2.77,100,19.72
2.79,100,19.62
2.81,100,19.72
2.83,100,19.72
2.84,100,19.72
2.86,100,19.65
2.88,100,20.6
2.9,100,19.72
2.92,100,19.72
2.94,100,19.72
2.96,100,19.72
2.98,100,19.72
2.99,100,19.62
3.01,100,19.47
3.03,100,19.72
3.05,100,19.72
3.07,100,20.15
3.09,100,20.15
3.11,100,20.6
3.13,100,19.62
3.14,100,19.72
3.16,100,19.74
3.18,100,19.72
3.2,100,19.72
3.22,100,19.72
3.24,100,19.72
3.26,100,19.62
3.28,100,19.72
3.29,100,19.72
3.31,100,19.47
3.33,100,19.47
3.35,100,19.72
3.37,100,19.74
3.39,100,19.62
3.41,100,19.72
3.42,100,19.72
3.44,100,19.72
3.46,100,19.65
3.48,100,19.74
3.5,100,19.74
3.52,100,19.74
3.54,100,19.72
3.56,100,19.72
3.58,100,19.72
3.59,100,19.38
3.61,100,19.72
3.63,100,19.47
3.65,100,19.74
3.67,100,19.72
3.69,100,19.72
3.71,100,19.72
3.72,100,19.62
3.74,100,19.74
3.76,100,19.72
3.78,100,19.72
3.8,100,19.72
3.82,100,19.74
3.84,100,19.72
3.86,100,20.09
3.87,100,20.2
3.89,100,19.47
3.91,100,19.47
3.93,100,19.72
3.95,100,19.72
3.97,100,19.72
3.99,100,19.64
4.01,100,19.72
4.02,100,20.2
4.04,100,20.2
4.06,100,20.54
4.08,100,20.6
4.1,100,19.72
4.12,100,19.72
4.14,100,19.72
4.16,100,19.72
4.17,100,19.47
4.19,100,19.64
4.21,100,19.47
4.23,100,19.72
4.25,100,19.72
4.27,100,19.72
4.29,100,19.72
4.3,100,19.72
4.32,100,19.62
4.34,100,19.72
4.36,100,19.74
4.38,100,19.72
4.4,100,19.72
4.42,100,19.74
4.44,100,19.72
4.45,100,19.62
4.47,100,19.48
4.49,100,19.47
4.51,100,19.72
4.53,100,19.74
4.55,100,19.74
4.57,100,19.74
4.59,100,19.64
4.6,100,19.72
4.62,100,19.72
4.64,100,19.72
4.66,100,19.65
4.68,100,19.72
4.7,100,19.72
4.72,100,19.72
4.74,100,19.72
4.75,100,19.74
4.77,100,19.72
4.79,100,19.36
4.81,100,19.72
4.83,100,19.74
4.85,100,19.72
4.87,100,19.72
4.89,100,19.72
4.9,100,19.72
4.92,100,19.62
4.94,100,19.72
4.96,100,19.72
4.98,100,19.72
5.0,100,19.74
5.02,100,19.72
