pressure,time
355070.0,0.0
355256.0,0.09
355415.0,0.18
355510.0,0.28
355568.0,0.38
355484.0,0.48
355066.0,0.58
354876.0,0.67
354838.0,0.77
354828.0,0.87
354491.0,0.97
354276.0,1.07
354102.0,1.16
354009.0,1.26
354121.0,1.36
354118.0,1.46
353737.0,1.56
353959.0,1.65
354121.0,1.75
353891.0,1.85
353132.0,1.95
352697.0,2.05
352647.0,2.14
352453.0,2.24
352287.0,2.34
352211.0,2.44
351785.0,2.54
351564.0,2.63
351631.0,2.73
351678.0,2.83
351387.0,2.93
350896.0,3.03
350856.0,3.13
350749.0,3.22
350420.0,3.32
349813.0,3.42
349343.0,3.52
349118.0,3.62
349033.0,3.71
348886.0,3.81
348623.0,3.91
348450.0,4.01
348302.0,4.11
348028.0,4.2
347697.0,4.3
346943.0,4.4
363249.0,4.5
445479.0,4.6
517130.0,4.69
523510.0,4.79
518098.0,4.89
518818.0,4.99
518507.0,5.09
518738.0,5.18
515930.0,5.28
508775.0,5.38
511120.0,5.48
518204.0,5.58
516805.0,5.68
515987.0,5.77
512704.0,5.87
507813.0,5.97
511282.0,6.07
514564.0,6.16
510575.0,6.26
507318.0,6.36
508634.0,6.46
504663.0,6.56
508678.0,6.66
510745.0,6.75
507266.0,6.85
502103.0,6.95
496039.0,7.05
495500.0,7.15
501951.0,7.24
507657.0,7.34
508337.0,7.44
514999.0,7.54
514363.0,7.64
514146.0,7.73
518861.0,7.83
515468.0,7.93
513547.0,8.03
519788.0,8.13
529673.0,8.22
527259.0,8.32
518775.0,8.42
518527.0,8.52
471989.0,8.62
369494.0,8.72
331952.0,8.81
331700.0,8.91
332394.0,9.01
332647.0,9.11
333091.0,9.2
333197.0,9.3
333395.0,9.4
334216.0,9.5
334924.0,9.6
335391.0,9.69
335879.0,9.79
336176.0,9.89
336794.0,9.99
337874.0,10.09
338368.0,10.19
338787.0,10.28
339259.0,10.38
339440.0,10.48
340070.0,10.58
340809.0,10.68
340959.0,10.77
341428.0,10.87
341786.0,10.97
341915.0,11.07
342377.0,11.17
342597.0,11.26
342853.0,11.36
343125.0,11.46
343194.0,11.56
343354.0,11.66
343552.0,11.75
343824.0,11.85
344022.0,11.95
344154.0,12.05
344015.0,12.15
343631.0,12.24
343920.0,12.34
344513.0,12.44
344825.0,12.54
344854.0,12.64
344690.0,12.73
344445.0,12.83
344417.0,12.93
344723.0,13.03
344441.0,13.13
343868.0,13.23
343932.0,13.32
344422.0,13.42
344880.0,13.52
345086.0,13.62
345184.0,13.72
345033.0,13.81
344565.0,13.91
344438.0,14.01
344440.0,14.11
344801.0,14.2
344781.0,14.3
344820.0,14.4
344691.0,14.5
344570.0,14.6
344765.0,14.69
344481.0,14.79
344295.0,14.89
344383.0,14.99
344280.0,15.09
343884.0,15.19
343352.0,15.28
343332.0,15.38
343254.0,15.48
343018.0,15.58
342826.0,15.68
342967.0,15.77
342929.0,15.87
342811.0,15.97
342524.0,16.07
342379.0,16.17
342225.0,16.26
342576.0,16.36
342821.0,16.46
342705.0,16.56
342613.0,16.66
342370.0,16.75
342233.0,16.85
342298.0,16.95
342416.0,17.05
342694.0,17.15
342863.0,17.25
342739.0,17.34
342342.0,17.44
342347.0,17.54
342567.0,17.64
342726.0,17.74
342774.0,17.83
342796.0,17.93
342998.0,18.03
343165.0,18.13
343771.0,18.23
344112.0,18.32
344506.0,18.42
346126.0,18.52
348085.0,18.62
