Temperatura,Umidade,Analogico,Hora,Sopro
26.1,70.0,4095.0,2.241698980331421,SEM SOPRO
26.1,70.0,4095.0,2.257424831390381,SEM SOPRO
26.1,70.0,4095.0,2.3395378589630127,SEM SOPRO
26.1,70.0,4095.0,2.4194040298461914,SEM SOPRO
26.1,70.0,4095.0,2.4982805252075195,SEM SOPRO
26.1,70.0,4095.0,2.579092264175415,SEM SOPRO
26.1,70.0,4095.0,2.6604602336883545,SEM SOPRO
26.1,70.0,4095.0,2.7398996353149414,SEM SOPRO
26.1,70.0,4095.0,2.820549726486206,SEM SOPRO
26.1,70.0,4095.0,2.8997323513031006,SEM SOPRO
26.1,70.0,4095.0,2.9805915355682373,SEM SOPRO
26.1,70.0,4095.0,3.060539484024048,SEM SOPRO
26.1,70.0,4095.0,3.139101982116699,SEM SOPRO
26.1,70.0,4095.0,3.2194387912750244,SEM SOPRO
26.1,70.0,4095.0,3.2994284629821777,SEM SOPRO
26.1,70.0,4095.0,3.37959361076355,SEM SOPRO
26.1,70.0,4095.0,3.4599876403808594,SEM SOPRO
26.1,70.0,4095.0,3.539518117904663,SEM SOPRO
26.1,70.0,4095.0,3.618842840194702,SEM SOPRO
26.1,70.0,4095.0,3.6988525390625,SEM SOPRO
26.1,70.0,4095.0,3.7796826362609863,SEM SOPRO
26.1,70.0,4095.0,3.859581708908081,SEM SOPRO
26.1,70.0,4095.0,3.939566135406494,SEM SOPRO
26.1,70.0,4095.0,4.019202470779419,SEM SOPRO
26.1,70.0,4095.0,4.098922967910767,SEM SOPRO
26.2,70.0,4095.0,4.203776597976685,SEM SOPRO
26.2,70.0,4095.0,4.284271478652954,SEM SOPRO
26.2,70.0,4095.0,4.364041566848755,SEM SOPRO
26.2,70.0,4095.0,4.444634675979614,SEM SOPRO
26.2,70.0,4095.0,4.524661540985107,SEM SOPRO
26.2,70.0,4095.0,4.604201078414917,SEM SOPRO
26.2,70.0,4095.0,4.684220552444458,SEM SOPRO
26.2,70.0,4095.0,4.7641801834106445,SEM SOPRO
26.2,70.0,4095.0,4.844560146331787,SEM SOPRO
26.2,70.0,4095.0,4.924559831619263,SEM SOPRO
26.2,70.0,4095.0,5.004603385925293,SEM SOPRO
