time,input,output
0.1,0,826
0.102,0,917
0.113,0,937
0.153,1,963
0.194,1,1023
0.236,1,924
0.276,1,1023
0.318,2,881
0.359,2,1023
0.4,2,853
0.439,3,1023
0.48,3,878
0.52,3,915
0.56,3,1023
0.6,4,855
0.639,4,1022
0.68,4,889
0.72,5,922
0.76,5,1023
0.8,5,837
0.838,5,1005
0.879,6,894
0.92,6,948
0.96,6,1023
1.0,7,844
1.037,7,937
1.077,7,1023
1.119,7,883
1.16,8,1023
1.2,8,848
1.239,8,1023
1.28,9,823
1.32,9,899
1.36,9,1023
1.4,9,814
1.439,10,1023
1.481,10,796
1.522,10,1023
1.565,11,804
1.606,11,1023
1.649,11,811
1.691,12,1023
1.733,12,824
1.775,12,1023
1.817,12,846
1.859,13,1023
1.902,13,867
1.943,13,986
1.985,14,867
2.027,14,986
2.068,14,851
2.11,14,985
2.15,15,821
2.191,15,1023
2.234,15,798
2.275,16,1023
2.318,16,849
2.36,16,990
2.4,17,795
2.44,17,1023
2.481,17,736
2.523,17,1023
2.566,18,753
2.607,18,1023
2.65,18,763
2.691,19,1023
2.733,19,777
2.775,19,993
2.816,19,749
2.858,20,1002
2.901,20,772
2.942,20,978
2.984,21,796
3.026,21,949
3.067,21,787
3.109,22,915
3.15,22,778
3.191,22,976
3.233,22,768
3.274,23,920
3.316,23,783
3.357,23,908
3.398,24,751
3.44,24,939
3.48,24,726
3.521,24,989
3.563,25,705
3.604,25,988
3.646,25,727
3.688,26,958
3.729,26,711
3.771,26,898
3.812,27,703
3.854,27,917
3.896,27,713
3.937,27,994
3.979,28,682
4.021,28,956
4.062,28,702
4.104,29,897
4.145,29,714
4.187,29,836
4.229,30,689
4.27,30,847
4.311,30,704
4.353,30,834
4.394,31,691
4.436,31,907
4.477,31,649
4.519,32,899
4.561,32,640
4.602,32,886
4.644,32,681
4.686,33,875
4.727,33,655
4.769,33,882
4.81,34,630
4.85,34,850
4.891,34,676
4.932,35,798
4.974,35,712
5.016,35,767
5.057,35,700
5.099,36,758
5.14,36,716
5.181,36,700
5.223,37,823
5.264,37,687
5.306,37,778
5.348,37,698
5.389,38,774
5.431,38,700
5.472,38,796
5.514,39,682
5.556,39,768
5.597,39,715
5.639,40,791
5.681,40,668
5.722,40,748
5.764,40,691
5.805,41,762
5.847,41,670
5.889,41,779
5.93,42,657
5.971,42,825
6.012,42,617
6.054,42,807
6.096,43,634
6.137,43,858
6.179,43,614
6.221,44,829
6.262,44,597
6.304,44,801
6.345,45,638
6.386,45,830
6.428,45,600
6.469,45,805
6.511,46,624
6.553,46,834
6.594,46,589
6.636,47,830
6.677,47,594
6.719,47,803
6.761,48,623
6.802,48,792
6.844,48,604
6.886,48,824
6.927,49,586
6.969,49,791
7.01,49,573
7.051,50,800
7.093,50,541
7.134,50,895
7.176,50,537
7.218,51,830
7.259,51,529
7.301,51,832
7.342,52,544
7.384,52,817
7.426,52,523
7.467,53,868
7.509,53,519
7.551,53,826
7.592,53,532
7.634,54,820
7.675,54,551
7.717,54,806
7.759,55,527
7.8,55,808
7.84,55,501
7.881,55,743
7.921,56,525
7.963,56,730
8.004,56,526
8.046,57,763
8.088,57,507
8.129,57,750
8.171,58,512
8.213,58,747
8.254,58,527
8.296,58,728
8.337,59,516
8.379,59,718
8.421,59,497
8.462,60,760
8.504,60,486
8.546,60,731
8.587,60,493
8.629,61,725
8.67,61,532
8.711,61,639
8.753,62,573
8.794,62,637
8.836,62,593
8.878,63,638
8.919,63,555
8.961,63,628
9.002,63,548
9.044,64,644
9.086,64,530
9.127,64,620
9.169,65,561
9.211,65,630
9.252,65,569
9.294,65,616
9.335,66,562
9.377,66,624
9.419,66,562
9.46,67,621
9.5,67,637
9.539,67,520
9.581,68,695
9.623,68,531
9.664,68,681
9.706,68,485
9.748,69,743
9.789,69,495
9.831,69,694
9.872,70,494
9.914,70,692
9.956,70,502
9.997,70,737
10.039,71,514
10.082,71,700
10.124,71,517
10.167,72,596
10.21,72,633
10.251,72,508
10.294,73,709
10.336,73,454
10.379,73,738
10.422,73,438
10.464,74,733
10.507,74,507
10.55,74,619
10.591,75,563
10.634,75,525
10.677,75,676
10.719,76,406
10.762,76,776
10.804,76,469
10.847,77,748
10.89,77,523
10.931,77,686
10.974,77,540
11.017,78,565
11.059,78,686
11.102,78,416
11.145,79,758
11.187,79,485
11.23,79,699
11.272,80,483
11.314,80,711
11.357,80,525
11.399,80,547
11.442,81,636
11.485,81,405
11.527,81,744
11.57,82,452
11.612,82,734
11.654,82,448
11.697,83,654
11.74,83,506
11.781,83,605
11.824,83,571
11.866,84,464
11.909,84,681
11.952,84,446
11.994,85,684
12.037,85,504
12.08,85,643
12.121,86,473
12.164,86,614
12.207,86,545
12.249,86,469
12.292,87,705
12.334,87,485
12.377,87,727
12.42,88,474
12.461,88,680
12.504,88,491
12.547,89,618
12.589,89,569
12.632,89,458
12.675,89,672
12.717,90,430
12.76,90,691
12.801,90,484
12.844,91,668
12.887,91,466
12.929,91,600
12.972,92,521
13.015,92,433
13.057,92,632
13.1,93,407
13.141,93,673
13.183,93,492
13.226,93,714
13.269,94,446
13.311,94,610
13.354,94,479
13.396,95,502
13.439,95,569
13.482,95,424
13.524,96,667
13.567,96,421
13.61,96,689
13.651,96,416
13.694,97,595
13.737,97,516
13.779,97,562
13.822,98,581
13.864,98,480
13.907,98,653
13.95,99,457
13.991,99,651
14.034,99,461
14.077,99,659
14.119,100,454
14.163,100,516
14.207,100,623
14.25,101,445
14.293,101,622
14.337,101,479
14.38,102,459
14.423,102,631
14.467,102,485
14.51,103,566
14.553,103,462
14.596,103,457
14.64,103,622
14.683,104,428
14.726,104,591
14.77,104,498
14.813,105,468
14.856,105,596
14.9,105,425
14.942,106,650
14.985,106,494
15.029,106,459
15.073,107,560
15.116,107,439
15.16,107,554
15.203,107,508
15.246,108,422
15.29,108,649
15.333,108,437
15.376,109,569
15.42,109,492
15.462,109,405
15.506,110,636
15.55,110,431
15.592,110,568
15.636,111,516
15.68,111,419
15.722,111,626
15.766,111,419
15.81,112,533
15.852,112,464
15.896,112,387
15.94,113,611
15.982,113,359
16.026,113,553
16.07,114,517
16.112,114,384
16.156,114,615
16.201,115,437
16.244,115,469
16.288,115,571
16.332,115,418
16.375,116,602
16.419,116,458
16.462,116,362
16.506,117,616
16.55,117,420
16.592,117,580
16.636,118,481
16.68,118,388
16.722,118,630
16.766,119,382
16.81,119,534
16.852,119,456
16.896,119,396
16.94,120,566
16.982,120,411
17.026,120,499
17.07,121,541
17.112,121,413
17.156,121,540
17.2,122,399
17.241,122,568
17.285,122,466
17.329,123,399
17.372,123,547
17.416,123,422
17.459,123,482
17.503,124,565
17.547,124,374
17.59,124,583
17.633,125,403
17.677,125,446
17.72,125,599
17.763,126,361
17.807,126,560
17.85,126,429
17.893,127,410
17.937,127,565
17.98,127,375
18.023,127,574
18.067,128,442
18.11,128,373
18.153,128,525
18.197,129,348
18.24,129,558
18.283,129,431
18.327,130,367
18.37,130,568
18.413,130,387
18.456,131,562
18.5,131,431
18.542,131,480
18.585,131,512
18.629,132,358
18.673,132,551
18.716,132,420
18.761,133,360
18.805,133,524
18.848,133,367
18.892,134,491
18.936,134,510
18.979,134,361
19.023,135,496
19.067,135,425
19.11,135,324
19.153,135,528
19.197,136,360
19.24,136,519
19.283,136,420
19.327,137,336
19.37,137,539
19.413,137,361
19.456,138,529
19.5,138,445
19.542,138,425
19.585,139,514
19.629,139,320
19.673,139,539
19.716,139,386
19.76,140,309
19.803,140,559
19.846,140,328
19.89,141,483
19.933,141,398
19.976,141,321
20.02,142,550
20.063,142,298
20.106,142,510
20.15,143,443
20.193,143,387
20.236,143,568
20.28,143,352
20.322,144,581
20.366,144,461
20.41,144,315
20.452,145,590
20.496,145,334
20.54,145,533
20.582,146,425
20.626,146,332
20.67,146,589
20.712,147,315
20.756,147,486
20.8,147,461
20.841,147,379
20.885,148,543
20.929,148,335
20.972,148,529
21.016,149,495
21.06,149,386
21.102,149,508
21.146,150,331
21.19,150,483
21.232,150,452
21.276,151,291
21.319,151,603
21.364,151,349
21.408,151,441
21.451,152,540
21.495,152,293
21.539,152,551
21.582,153,458
21.626,153,315
21.67,153,544
21.712,154,379
21.756,154,498
21.8,154,490
21.841,155,357
21.885,155,521
21.929,155,367
21.972,156,442
22.016,156,481
22.06,156,324
22.102,156,532
22.146,157,334
22.19,157,437
22.232,157,467
22.276,158,310
22.319,158,568
22.363,158,382
22.407,159,389
22.45,159,584
22.493,159,315
22.537,160,600
22.58,160,360
22.623,160,442
22.667,160,554
22.71,161,250
22.753,161,609
22.797,161,309
22.84,162,391
22.883,162,533
22.927,162,261
22.97,163,555
23.013,163,357
23.057,163,360
23.1,164,534
23.142,164,300
23.186,164,537
