input,output,time
255,1008,2.16
255,821,2.175
255,699,2.19
255,495,2.25
255,472,2.265
255,429,2.31
255,404,2.355
255,389,2.4
255,381,2.43
255,373,2.475
255,367,2.52
255,362,2.565
255,359,2.61
255,357,2.64
255,354,2.685
255,352,2.73
255,351,2.775
255,349,2.82
255,348,2.85
255,347,2.895
255,346,2.94
255,345,2.985
255,345,3.03
255,344,3.06
255,344,3.105
255,343,3.15
120,343,3.195
120,335,3.24
120,509,3.27
120,473,3.315
120,485,3.36
120,493,3.405
120,502,3.45
120,513,3.495
120,459,3.525
120,472,3.57
120,481,3.615
120,490,3.66
120,498,3.705
120,447,3.735
120,454,3.78
120,468,3.825
120,479,3.87
120,487,3.915
120,496,3.96
120,452,3.99
120,454,4.035
120,465,4.08
120,477,4.125
120,486,4.17
80,455,4.2
80,453,4.245
80,531,4.29
80,542,4.32
80,555,4.365
80,566,4.41
80,532,4.455
80,522,4.485
80,530,4.53
80,542,4.575
80,555,4.62
80,563,4.65
80,540,4.695
80,528,4.74
80,581,4.77
80,583,4.815
80,577,4.86
80,561,4.905
80,566,4.935
80,574,4.98
80,577,5.025
80,581,5.07
80,542,5.1
80,555,5.145
80,564,5.19
102,576,5.22
102,528,5.265
102,479,5.31
102,490,5.355
102,502,5.4
102,511,5.43
102,520,5.475
102,529,5.535
102,474,5.565
102,486,5.61
102,518,5.64
102,508,5.685
102,518,5.73
102,526,5.775
102,473,5.82
102,518,5.85
102,496,5.895
102,506,5.94
102,516,5.985
102,525,6.03
102,520,6.06
102,478,6.105
102,493,6.15
102,505,6.195
47,516,6.24
47,488,6.27
47,626,6.315
47,637,6.36
47,653,6.405
47,694,6.435
47,665,6.48
47,635,6.525
47,637,6.57
47,680,6.6
47,687,6.645
47,693,6.69
47,694,6.72
47,674,6.765
47,682,6.81
47,680,6.855
47,686,6.885
47,654,6.93
47,663,6.975
47,672,7.02
47,675,7.05
47,682,7.095
47,683,7.14
47,655,7.185
47,657,7.215
102,672,7.26
102,676,7.305
102,543,7.35
102,521,7.38
102,490,7.425
102,502,7.47
102,512,7.515
102,521,7.56
102,516,7.59
102,482,7.635
102,486,7.68
102,496,7.725
102,509,7.77
102,512,7.8
102,490,7.845
102,475,7.89
102,480,7.935
102,492,7.98
102,515,8.01
102,502,8.055
102,493,8.1
102,479,8.145
102,479,8.19
102,540,8.22
143,508,8.265
143,503,8.31
143,432,8.355
143,426,8.4
143,467,8.43
143,460,8.475
143,450,8.52
143,436,8.565
143,431,8.61
143,458,8.64
143,465,8.685
143,459,8.73
143,449,8.775
143,440,8.82
143,445,8.85
143,455,8.895
143,465,8.94
143,459,8.985
143,452,9.03
143,441,9.06
143,444,9.105
143,455,9.15
143,464,9.195
143,464,9.24
142,448,9.27
142,443,9.315
142,434,9.375
142,453,9.405
142,465,9.45
142,472,9.48
142,462,9.525
142,446,9.57
142,438,9.615
142,452,9.66
142,461,9.69
142,473,9.735
142,463,9.78
142,449,9.825
142,439,9.87
142,449,9.9
142,459,9.945
142,466,9.99
142,466,10.035
142,450,10.08
142,473,10.11
142,446,10.155
142,456,10.2
142,467,10.245
79,454,10.29
79,453,10.335
79,563,10.38
79,565,10.41
79,575,10.455
79,580,10.5
79,585,10.545
79,576,10.575
79,555,10.62
79,566,10.665
79,574,10.71
79,580,10.755
79,584,10.8
79,542,10.83
79,553,10.875
79,565,10.92
79,573,10.965
79,578,10.995
79,529,11.04
79,539,11.085
79,552,11.13
79,564,11.175
79,572,11.22
79,536,11.25
160,532,11.295
160,538,11.34
160,412,11.385
160,417,11.43
160,430,11.475
160,438,11.52
160,408,11.55
160,405,11.595
160,404,11.64
160,415,11.685
160,426,11.73
160,437,11.775
160,449,11.82
160,436,11.85
160,398,11.895
160,413,11.94
160,423,11.985
160,435,12.03
160,449,12.075
160,436,12.12
160,425,12.165
160,424,12.195
160,424,12.24
160,433,12.285
52,440,12.33
52,436,12.375
52,661,12.42
52,665,12.465
52,650,12.495
52,662,12.54
52,664,12.585
52,665,12.63
52,670,12.675
52,672,12.705
52,652,12.75
52,658,12.795
52,664,12.84
52,668,12.885
52,672,12.93
52,639,12.96
52,648,13.005
52,660,13.05
52,664,13.095
52,666,13.14
52,629,13.17
52,636,13.215
52,647,13.26
52,655,13.305
3,668,13.35
3,619,13.38
3,925,13.425
3,953,13.47
3,960,13.5
3,964,13.545
3,971,13.59
3,974,13.635
3,976,13.665
3,978,13.71
3,981,13.77
3,980,13.785
3,979,13.83
3,981,13.875
3,982,13.92
3,985,13.95
3,985,13.995
3,987,14.04
3,981,14.085
3,985,14.115
3,986,14.16
3,986,14.205
3,986,14.25
3,986,14.28
3,986,14.325
124,986,14.37
124,986,14.415
124,625,14.46
124,546,14.49
124,510,14.535
124,506,14.58
124,507,14.625
124,508,14.67
124,517,14.715
124,496,14.76
124,480,14.805
124,512,14.835
124,488,14.88
124,496,14.925
124,502,14.97
124,492,15.015
124,476,15.06
124,468,15.105
124,458,15.15
124,464,15.18
124,498,15.225
124,494,15.27
124,476,15.315
124,464,15.36
114,453,15.405
114,452,15.45
114,455,15.495
114,461,15.525
114,500,15.57
114,486,15.615
114,477,15.66
114,466,15.705
114,452,15.75
114,468,15.795
114,478,15.84
114,488,15.885
114,473,15.915
114,467,15.96
114,459,16.005
114,463,16.05
114,478,16.095
114,489,16.14
114,497,16.185
114,508,16.245
114,451,16.275
114,465,16.305
114,475,16.35
114,486,16.395
32,498,16.44
32,505,16.485
32,705,16.53
32,743,16.56
32,735,16.605
32,741,16.65
32,749,16.695
32,758,16.74
32,756,16.77
32,734,16.815
32,738,16.86
32,744,16.905
32,751,16.95
32,759,16.98
32,725,17.025
32,733,17.07
32,739,17.115
32,744,17.16
32,750,17.205
32,714,17.235
32,728,17.28
32,731,17.325
32,738,17.37
32,741,17.415
70,728,17.445
70,715,17.49
70,576,17.535
70,574,17.58
70,580,17.625
70,586,17.655
70,600,17.7
70,581,17.745
70,562,17.79
70,563,17.835
70,571,17.88
70,611,17.91
70,588,17.955
70,571,18.0
70,625,18.03
70,605,18.075
70,608,18.12
70,619,18.165
70,599,18.21
70,635,18.24
70,599,18.285
70,604,18.33
70,608,18.375
70,616,18.42
18,610,18.45
18,590,18.495
18,811,18.54
18,829,18.585
18,836,18.63
18,841,18.66
18,830,18.705
18,835,18.75
18,840,18.795
18,843,18.84
18,849,18.87
18,847,18.915
18,850,18.975
18,840,19.005
18,842,19.05
18,847,19.095
18,847,19.125
18,848,19.17
18,850,19.215
18,841,19.26
18,843,19.305
18,850,19.335
18,846,19.38
18,848,19.425
189,851,19.47
189,860,19.53
189,454,19.56
189,435,19.59
189,426,19.635
189,414,19.68
189,404,19.725
189,397,19.77
189,395,19.815
189,408,19.86
189,410,19.905
189,398,19.935
189,397,19.98
189,391,20.025
189,387,20.085
189,401,20.115
189,408,20.16
189,402,20.205
189,396,20.25
189,391,20.295
189,386,20.325
189,401,20.37
189,409,20.415
189,401,20.46
123,393,20.505
123,390,20.55
123,460,20.595
123,458,20.64
123,450,20.685
123,499,20.715
123,490,20.76
123,481,20.805
123,464,20.85
123,456,20.895
123,449,20.94
123,439,20.985
123,455,21.03
123,472,21.06
123,469,21.105
123,460,21.15
123,451,21.195
123,438,21.24
123,452,21.285
