iter	Passed	Remaining
0	0	142
1	0	131
2	1	125
3	1	125
4	2	128
5	2	124
6	2	122
7	3	119
8	4	133
9	4	132
10	5	131
11	5	129
12	5	127
13	6	123
14	6	122
15	6	120
16	7	118
17	7	116
18	7	115
19	8	113
20	8	112
21	8	110
22	9	110
23	9	108
24	9	107
25	10	106
26	10	105
27	10	104
28	11	104
29	11	104
30	11	102
31	12	102
32	12	101
33	12	101
34	13	99
35	13	98
36	13	98
37	14	98
38	14	97
39	14	97
40	15	96
41	15	96
42	16	95
43	16	95
44	16	94
45	16	92
46	17	91
47	17	91
48	17	91
49	18	90
50	18	92
51	19	91
52	19	91
53	20	91
54	20	91
55	21	91
56	21	91
57	21	90
58	22	90
59	22	90
60	23	90
61	23	90
62	23	89
63	24	88
64	24	88
65	24	88
66	25	88
67	25	88
68	26	88
69	26	88
70	27	87
71	27	87
72	27	86
73	28	85
74	28	85
75	28	84
76	29	85
77	29	84
78	30	84
79	30	84
80	31	83
81	31	83
82	31	83
83	32	83
84	32	83
85	33	83
86	33	82
87	34	82
88	34	82
89	35	82
90	35	82
91	36	81
92	36	81
93	36	80
94	37	80
95	37	79
96	38	79
97	38	79
98	38	78
99	39	78
100	39	78
101	40	78
102	40	77
103	40	77
104	41	76
105	41	76
106	42	76
107	42	75
108	43	75
109	43	75
110	43	74
111	44	74
112	44	74
113	45	73
114	45	73
115	46	73
116	46	73
117	47	72
118	47	72
119	48	72
120	48	72
121	49	71
122	49	71
123	50	71
124	50	70
125	50	70
126	51	69
127	51	69
128	52	69
129	52	68
130	53	68
131	53	68
132	53	67
133	54	67
134	54	66
135	55	66
136	55	66
137	56	65
138	56	65
139	57	65
140	57	64
141	57	64
142	58	64
143	58	63
144	59	63
145	59	62
146	60	62
147	60	62
148	61	61
149	61	61
150	62	61
151	62	60
152	63	60
153	63	60
154	63	59
155	64	59
156	64	59
157	65	58
158	65	58
159	66	57
160	66	57
161	67	57
162	67	56
163	67	56
164	68	55
165	68	55
166	69	55
167	69	54
168	70	54
169	70	54
170	71	53
171	71	53
172	72	52
173	72	52
174	72	52
175	73	51
176	73	51
177	74	50
178	74	50
179	75	50
180	75	49
181	76	49
182	76	49
183	77	48
184	77	48
185	78	47
186	78	47
187	79	47
188	79	46
189	80	46
190	80	45
191	80	45
192	81	44
193	81	44
194	81	44
195	82	43
196	82	43
197	83	42
198	83	42
199	84	42
200	84	41
201	84	41
202	85	40
203	85	40
204	86	39
205	86	39
206	87	39
207	87	38
208	88	38
209	88	37
210	88	37
211	89	37
212	89	36
213	90	36
214	90	35
215	91	35
216	91	34
217	91	34
218	92	34
219	92	33
220	93	33
221	93	32
222	94	32
223	94	32
224	95	31
225	95	31
226	95	30
227	96	30
228	96	30
229	97	29
230	97	29
231	98	28
232	98	28
233	99	27
234	99	27
235	100	27
236	100	26
237	101	26
238	101	25
239	102	25
240	102	25
241	103	24
242	103	24
243	103	23
244	104	23
245	104	23
246	105	22
247	105	22
248	106	21
249	106	21
250	107	20
251	107	20
252	108	20
253	108	19
254	109	19
255	109	18
256	109	18
257	110	17
258	110	17
259	111	17
260	111	16
261	112	16
262	112	15
263	113	15
264	113	14
265	113	14
266	114	14
267	114	13
268	115	13
269	115	12
270	116	12
271	117	12
272	117	11
273	118	11
274	118	10
275	119	10
276	119	9
277	120	9
278	120	9
279	121	8
280	121	8
281	122	7
282	122	7
283	122	6
284	123	6
285	123	6
286	124	5
287	124	5
288	125	4
289	125	4
290	125	3
291	126	3
292	126	3
293	127	2
294	127	2
295	128	1
296	128	1
297	128	0
298	129	0
299	130	0
